ID,Name,Votes,Description,Date,Status,URL
WEBFLOW-I-6088,Improve webhooks,1,First: Currently I can only be notified about edits/updates/deletions on collection items. It would be nice to get updates for individual pages too. Second: Give full name of person/author in addition to id in the collection_item_update webhook. Similar to the site_publish webhook.Third: Give the full URL instead of just slug. I would like to get a link in slack on which i can click to check the updates.,25/06/2023,None,https://wishlist.webflow.com/ideas/WEBFLOW-I-6088
WEBFLOW-I-6086,Ecommerce more options,1,All I want to do is add more options for a product like the example in the attached picture - a website created in Shopify.,25/06/2023,None,https://wishlist.webflow.com/ideas/WEBFLOW-I-6086
WEBFLOW-I-3042,Increase Number of Nested Collection Lists Per Page,984,Currently only one Collection List can be nested per page - would be great to increase this limit. Thanks!,02/07/2020,Reviewed,https://wishlist.webflow.com/ideas/WEBFLOW-I-3042
WEBFLOW-I-1496,Recurring billing (Subscriptions),1441,I know the ecommerce platform is in development but it would be nice to have recurring billing option for the users. If they select a product that has a recurring subscription they can go through the process and subscribe. They can login and manage their subscription options. I often have clients that need that and I also need it for myself. It would be even more unique feature to the platform.,11/10/2018,In progress,https://wishlist.webflow.com/ideas/WEBFLOW-I-1496
WEBFLOW-I-1555,Stripe iDeal payments with Ecommerce,1376,Stripe uses iDeal payments in Netherlands Belgium Luxemburg and some in Germany. Its like the creditcard for the US everybody uses this... and lots of companies don’t have a creditcard here.. I am sure this idea will not get loads of likes... but for me and lots of other designers Webflow ecommerce is useless without Stripe’s iDeal payments option here in the Netherlands!,06/11/2018,Reviewed,https://wishlist.webflow.com/ideas/WEBFLOW-I-1555
WEBFLOW-I-2677,Disable/Remove Ecommerce Functionality,967,Have the ability to remove/disable the ecommerce functionality on a project.If you enable this to try it out or download a template which has it enabled there's currently no way to disable it. Especially frustrating if you have a client that is using the editor.,20/03/2020,Reviewed,https://wishlist.webflow.com/ideas/WEBFLOW-I-2677
WEBFLOW-I-6071,Clean Image URLs in Webflow CDN,10,Hey Webflow! Our agency is frustrated by Webflow's image naming practices and are hoping for some changes!  Problems SEO. The official Google reference on states that "Google uses the URL path as well as the filename to understand your images. Consider organizing your image content so that URLs are constructed logically." (Source) Unfortunately Webflow adds a bunch of junk characters to image names and does not store them in a logical file structure meaning Webflow sites lose this valuable SEO. Editing. Downloading images from Wordpress sites saves them with the same name that they were uploaded as making it easy to edit and reupload a file. On Webflow the file is renamed to the junk characters meaning you have to rename the file each time.  Suggested Solution In the Webflow CDN append the workspace and project name to the url so the url can still be unique and the image filename can be on its own. It would be great timing here to also add Replace Image functionality to the Asset Manager. Seems simple to just download edit and reupload but this would save tons of time.  Notes I've reviewed a few posts on this topic from Webflow including this one on this topic where the community manager cited limitations from Webflow's CDN or that Google doesn't actually use Image titles for SEO (citing a Stack Overflow post from 2012 back when keyword stuffing was prevalent). It would be helpful to hear an updated viewpoint from Webflow on this topic using up-to-date information.,13/06/2023,None,https://wishlist.webflow.com/ideas/WEBFLOW-I-6071
WEBFLOW-I-192,Custom Breakpoints,1744,This is self explanatory.,20/01/2017,Reviewed,https://wishlist.webflow.com/ideas/WEBFLOW-I-192
DESIGNER-I-16,Table Support,1718,Add support for creating styling and modifying tables.,16/12/2016,Reviewed,https://wishlist.webflow.com/ideas/DESIGNER-I-16
WEBFLOW-I-1528,Support an SVG-specific Element as an alternative to the Image element,1164,Currently SVGs can only be added through the Image element or the Embed element. Both of these approaches have issues which an SVG-specific element could solve neatly. SVG via Embed element problems; SVG via Image element problems; SOLUTION An SVG Element which... WHY THIS WOULD BE AWESOME,26/10/2018,Reviewed,https://wishlist.webflow.com/ideas/WEBFLOW-I-1528
WEBFLOW-I-128,Alternate Billing Payment Methods (Bank Transfer PayPal Bitcoin),1432,Many customers especially in EU countries do not have regular access to traditional credit card forms of payment.  Bank Giro/Wire Transfer PayPal and BitCoin support would be awesome!,18/01/2017,Reviewed,https://wishlist.webflow.com/ideas/WEBFLOW-I-128
WEBFLOW-I-133,Support for CSS calc(),1334,Very useful for many things. https://www.smashingmagazine.com/2016/05/fluid-typography/ https://css-tricks.com/a-couple-of-use-cases-for-calc/,18/01/2017,None,https://wishlist.webflow.com/ideas/WEBFLOW-I-133
WEBFLOW-I-1422,Turn Webflow websites in Progressive Web Apps,960,Can you add the ability to upload two files a manifest.json file and a serviceworkers.js file to the location where the website is hosted. (these files are extremely small). Once we can upload these 2 files we can add a couple of javescript lines to the header of each page and we can start taking advantage of the Progressive Web Apps (PWA's). When a website is PWA compliant we can start using local cache so websites load even when there is no internet. In Africa everybody access the internet through a phone but a signal is not always available when we use local cache they can still see the website without internet connection (of course they need to visit the website before when there is internet) Also when the website is PWA compliant it can act like a native app on your cellphone.I exported a website from webflow added two files Manifest.json and serviceworker.js and added 10 lines of code in the header of each page and the website became WPS compliant. No other change are needed.,31/08/2018,Reviewed,https://wishlist.webflow.com/ideas/WEBFLOW-I-1422
WEBFLOW-I-2038,Add modern File Types like JPEG 2000 JPEG XR and WebP,809,The Loading Time would be much faster. Google Page Speed say that it could be 7 seconds faster with this modern File types. Admin Note:Due to limited browser support it's unlikely that we'll build the ability to use JPEG 2000 JPEG XR or WebP until there's full browser support.,23/05/2019,None,https://wishlist.webflow.com/ideas/WEBFLOW-I-2038
WEBFLOW-I-3,Multi-select elements,1202,Within Webflow Designer's canvas add the ability to select multiple elements for bulk actions such as changing the class editing styling and settings copying and delete.,11/01/2017,Reviewed,https://wishlist.webflow.com/ideas/WEBFLOW-I-3
WEBFLOW-I-6085,Enable commenting by Guest (content) Editors as well as the design team,1,As the  administrator/quality content controller of a site with Business Site Plan and free Workspace plan it would be very useful for me to be able to interact with my content creators who use the Editor and don't have access to the  Designer: both to make and to hear suggestions on improving site content and on better designing the site to meet content creator needs.,24/06/2023,None,https://wishlist.webflow.com/ideas/WEBFLOW-I-6085
WEBFLOW-I-6081,Email Recipients for Logic that aren't collaborators,2,I want the ability to send forms through Logic to different people as an email but Logic limits it to only collaborators for your website.,22/06/2023,None,https://wishlist.webflow.com/ideas/WEBFLOW-I-6081
WEBFLOW-I-39,Real time collaboration on a project,1146,We often have several design changes that need to be made and letting multiple designers access and make changes to the same project simultaneously would be incredibly valuable.,17/01/2017,None,https://wishlist.webflow.com/ideas/WEBFLOW-I-39
WEBFLOW-I-161,Custom order for Collection Items,1141,At the moment there is little possibility to easily achieve custom ordering of items of a collection. Outside in the CMS world—and I'm taking Drupal as an example—custom ordering is quite always achieved the same way: there is a custom "order" field that is updated anytime the order of items is manually changed in a backend section. Editors will manually reorder items by dragging them up and down the list and the value of the order field is updated after each drag. In the template the list is set to be sorted depending on this order field.A very popular module to do this on Drupal can be seen here: https://www.drupal.org/project/nodeorder A list and comparisons of the ordering modules can be seen here: https://www.drupal.org/node/398508,19/01/2017,None,https://wishlist.webflow.com/ideas/WEBFLOW-I-161
WEBFLOW-I-2020,Ability to organize collections in folders,720,We've launched collection reordering so I'm pulling this feature out into its own wishlist item. (For context see: https://wishlist.webflow.com/ideas/WEBFLOW-I-155),14/05/2019,Reviewed,https://wishlist.webflow.com/ideas/WEBFLOW-I-2020
WEBFLOW-I-2357,Increase CMS item limit,628,10000 items may sound a lot but it’s extremely limiting even for small/medium blogs with many contributors especially if you want to implement custom tags. As it is now no blog/news site will be able to handle more than a few years of article creations before being forced off Webflow.,08/11/2019,Reviewed,https://wishlist.webflow.com/ideas/WEBFLOW-I-2357
DESIGNER-I-14,Support SVG CSS Properties,1063,Add the ability to change colors and properties in SVG CSS.,16/12/2016,None,https://wishlist.webflow.com/ideas/DESIGNER-I-14
WEBFLOW-I-502,Ability to duplicate Collection Page,1027,It would be greatly beneficial to have the ability to quickly clone a collection with it's collection page contents and then modify it.,28/02/2017,None,https://wishlist.webflow.com/ideas/WEBFLOW-I-502
WEBFLOW-I-4962,Do NOT phase out the Client Billing feature!,186,Phasing out the "Client Billing" feature is a massive dissapointment for many agency and freelance users. Transitioning to Bonsai brings only pain points to the users related to i.e. costs management and client communication.,06/04/2022,None,https://wishlist.webflow.com/ideas/WEBFLOW-I-4962
WEBFLOW-I-2335,Google reCAPTCHA v3 and v2 (invisible),545,At the moment webflow only supports Google reCAPTCHA v2 (checkbox) as mentioned on webflow university.  But it would even better to have reCAPTCHA v2 (invisible) as it does not require the 'I'm not a robot' checkbox. So we would be able to design forms seamlessly with the rest of the site design (see attached image for an example).  However if webflow could incorporate reCAPTCHA v3 then it would provide site owners with even more control and insight about their website visitors (both bots & humans). This would be a great selling point for us and webflow!  What do you guys think?,29/10/2019,Reviewed,https://wishlist.webflow.com/ideas/WEBFLOW-I-2335
WEBFLOW-I-4265,Next Version of CMS API,283,Please continue development on the CMS API basic things like filtering and sorting Items by API is missing and it doesn't make any sense not continuing work on the CMS API because a lot of people are working with it through NodeJS or Zapier or Integromat or any other external service or backend code and more features would be gladly appreciated. Also being able to have the Item ID as a option to use in the Designer as a variable would be great to send CMS Item IDs through forms for example.,20/05/2021,In progress,https://wishlist.webflow.com/ideas/WEBFLOW-I-4265
WEBFLOW-I-1834,Offline Payment option for Ecommerce,554,Some clients especially with larger ticket items or items that are customized post purchase (where the cost could change) would be best served by allowing them to pay offline (by check or other method). This would allow orders to be accepted and dealt with and the payment to be mailed or whatever. the admin then could check a box to say it is paid for and fulfill it when they get the payment. Many clients do not want to pay processing fees on either side for multi-thousand dollar items but want to sell them online (many of these are older traditional businesses who typically process payments by mail or phone and don't want their cool new website to break their internal processes).,19/02/2019,Reviewed,https://wishlist.webflow.com/ideas/WEBFLOW-I-1834
WEBFLOW-I-3855,Add Facebook Conversions API to Webflow servers,308,This is a crucial functionality for anyone who advertises using Facebook Pixel. From Apple iOS update 14.3 they will be shutting down retargeting through the Facebook Pixel. Adding the Facebook Conversions API to the Webflow servers is one of the few solutions that can help keeping it alive.  Link to Facebook info about Conversions API  Link to Facebook info on this update,19/01/2021,Reviewed,https://wishlist.webflow.com/ideas/WEBFLOW-I-3855
WEBFLOW-I-758,Webflow support on iPad Pro,753,guys why can we use webflow on iPad 12.9 pro? the screen is big enough the processing power is more than enough the resolution is higher than most laptops out there...if it is just because the UI is not designed for touch....well we don't need touch support apple pencil or any Bluetooth mouse will work on iPad just fine. Please let us use webflow on tablets.,22/06/2017,None,https://wishlist.webflow.com/ideas/WEBFLOW-I-758
WEBFLOW-I-6084,Add transition delay to interactive elements,1,Currently the interactive elements (dropdown/slide menu slider tabs) don't have the option to add delay. Therefore it's difficult to make an outgoing transition because you're limited to the amount of time until the content slides or fades away. I attached an example I made fully custom the sliding animation across the image wouldn't be possible if this was made with the tabs element. Having no transition or a transition with no duration wouldn't work in this case because the content would be gone before the animation plays out. It's a useful function that is not difficult to understand but for more advanced users would have great benefit because you don't need to make the interactions yourself (as I had to with the example). Thanks!,23/06/2023,None,https://wishlist.webflow.com/ideas/WEBFLOW-I-6084
WEBFLOW-I-6083,Real device mockups in Preview mode,1,Previewing a mobile device in Webflow gives you a full browser height mockup not what your site will actually look like on an iPad/iPhone/Galaxy etc.,23/06/2023,None,https://wishlist.webflow.com/ideas/WEBFLOW-I-6083
WEBFLOW-I-6082,A native theming tool for Webflow,1,Why are we still building style guides in draft pages? You should be able to create CSS styles for global HTML elements custom classes and utility classes in a simple UI. Other WYSIWYG builders do this (FlutterFlow etc). Why not Webflow? It would save a ton of development time to be able to do this upfront.,23/06/2023,None,https://wishlist.webflow.com/ideas/WEBFLOW-I-6082
WEBFLOW-I-1870,Afterpay/Klarna/DIBS Integration,501,Shop now pay later. https://www.afterpay.com/en-AU/index Very very popular with Australian shoppers and Europe/US has the equivalent in Klarna  https://www.klarna.com/international/ It's really important for so many consumers who use it to make certain purchases more affordable for them as they can pay over a certain time instead of fronting the money up all at once.,25/02/2019,Reviewed,https://wishlist.webflow.com/ideas/WEBFLOW-I-1870
WEBFLOW-I-33,Mobile CMS App,743,A mobile CMS App for adding and removing dynamic content being able to creating blog posts job posts etc on the fly. Would be useful for clients and the designers alike.,17/01/2017,None,https://wishlist.webflow.com/ideas/WEBFLOW-I-33
WEBFLOW-I-3881,Increase the items limit of Nested Collection Lists (currently max 5 only!!!),270,The Nested collection list function is super useful but it is currently limited to 5 items.  It is actually fine and reasonable to have a limit but not 5 only... Webflow team can you increase it to 20 or more?  Take a look at the comments here: https://wishlist.webflow.com/ideas/WEBFLOW-I-15,29/01/2021,Reviewed,https://wishlist.webflow.com/ideas/WEBFLOW-I-3881
WEBFLOW-I-236,Be able to style all forms elements (dropdown radio etc),717,Styling certain elements of forms have been difficult from the beginning of web design. Some modern frameworks offer either nicer default styles or the possibility to easily style any form component. Styling a form is important because it is still in 2017 the only component that is heavily handled visually by the browser defaults hence forms looking regularly different on Windows and Macs with also differences between browsers. Regularly forum users ask how to handle this: https://forum.webflow.com/t/best-way-to-design-this-complex-product-creation-form/38125 The image provided in the forum topic above (and attached here) is a good example of what we all would like to be able to produce. An incomplete list of what would be great to control: Additionally complicated forms need tables "zones" zones titles and labels... If you give support to this request can you add examples of a component you'd like to have control on in the comments?,24/01/2017,None,https://wishlist.webflow.com/ideas/WEBFLOW-I-236
WEBFLOW-I-2183,Add Mollie as Payment Service Provider,429,Mollie is the Benelux equivalent of Stripe. It's very developer friendly offers all major payment methods and is inexpensive. Moreover it offers certain payment options which are very specific to The Netherlands and Belgium and thus helps improve conversion at checkout.,13/08/2019,Reviewed,https://wishlist.webflow.com/ideas/WEBFLOW-I-2183
WEBFLOW-I-2494,Support HSTS,372,HSTS is becoming standard requirement for many IT Security departments.    The inability to enable HSTS on a Webflow site makes it tough to use Webflow. ,08/01/2020,Reviewed,https://wishlist.webflow.com/ideas/WEBFLOW-I-2494
WEBFLOW-I-105,Ability to create sites using a 'mobile-first' approach (mobile styles first in CSS cascade),666,In projects where mobile is the primary way an audience will view a site or app (and this number will probably only ever increase; one of my clients has 80% mobile views for example) – it often makes sense to start the cascade 'mobile-first' rather desktop first as webflow currently works – it helps designers developers and stakeholders keep focussed about their audience the content the effectiveness of the UI decisions and importantly generally just 'think' more from a mobile-orientated point of view (+ arguably some performance gains depending on how the cascade and code is setup). If a majority of your audience use mobiles – I can't think of any advantages of starting desktop-first. I find webflow's approach encourages mobile views to become basically stacked versions of the desktop view – and while agree that is essentially what most mobile sites are these days (and is often the best solution) I think the approach generally discourages more creative solutions to optimising the experience for small screens. (Discussed at length in the forums often with much argument!),18/01/2017,None,https://wishlist.webflow.com/ideas/WEBFLOW-I-105
WEBFLOW-I-6008,SEO friendly pagination (correct canonical URL),13,Currently pagination in Webflow is not reflected in the canonical URL. This goes directly against Google's guidelines and can be a major issue for SEO-friendly indexing of elements (yes CMS pages are included in the Sitemap but they will still be marked as orphan pages)All this means that for proper canonicals on paginated pages to be made you a required to use a script like this:  It would be great if this could be fixed (or at least just give us the option to provide unique canonicals for the paginated pages),11/05/2023,None,https://wishlist.webflow.com/ideas/WEBFLOW-I-6008
WEBFLOW-I-819,Clean asset links: Host assets on a site's Custom Domain and don't prepend the names with number ID strings,604,It would be great if you need to link to an uploaded Webflow resource (ie. a PDF or other) and have it on your own domain and not have the file name be prepended so "pitchscript.pdf" does not change to "872384029387403298wajlhewuhf_pitchscript.pdf". Especially since people want to host with Webflow fully & not have to put it on an external server.,26/07/2017,None,https://wishlist.webflow.com/ideas/WEBFLOW-I-819
OTHER-I-6,A/B Testing,645,Add the ability within Webflow Designer to A/B test various parts of a site design.,06/01/2017,None,https://wishlist.webflow.com/ideas/OTHER-I-6
WEBFLOW-I-4338,Add Support for Rive Files,196,Hi Webflow I really love simple animations. Adding little animations to a static site adds a whole breath of fresh air. It makes the user experience more enjoyable.That's why I love to share this Rive with you. Rive.app is web-based motion design tool specifically made for creating animaiton for web and games.It's similar to lootie but with a lot more controls.I would love if you can add support for rive files they will be a great alternative to lootie :),27/06/2021,Reviewed,https://wishlist.webflow.com/ideas/WEBFLOW-I-4338
WEBFLOW-I-285,Audio File Player,611,How about a fully customizable audio player that works within the CMS?  I could think of a million uses for this.,28/01/2017,None,https://wishlist.webflow.com/ideas/WEBFLOW-I-285
WEBFLOW-I-118,Publish / Unpublish individual pages,606,I'd like to be able to un-publish individual pages or at least prevent certain pages from being published. A few scenarios I need this for: Currently I'm preventing the pages being accessible by password protecting and adding the nofollow/index meta to them as they still appear on the sitemap.xml even with password protection.,18/01/2017,Reviewed,https://wishlist.webflow.com/ideas/WEBFLOW-I-118
WEBFLOW-I-362,Cookie Management and Cookie Opt-In for EU Customers,587,Sites that use cookies have special rules in the EU and having built in Cookie management would be very helpful to comply with specific EU regulations.,07/02/2017,None,https://wishlist.webflow.com/ideas/WEBFLOW-I-362
WEBFLOW-I-6068,Transfer a site to another workspace within the same account without unpublishing,4,My Webflow account has two workspaces.  I want to transfer a site from one to another.  In order to do this I must choose between two inconvenient and time consuming options that result in site downtime: Option 1 | Transfer a duplicate of the website  Duplicate the site you wish to transfer Transfer the duplicate website Cancel the Site Plan on the original website. [Downtime begins] Add a site plan to the duplicate website (Apply the coupon code) Add your custom domain to the website and publish [Downtime ends]  Option 2 | Transfer the original website Cancel the Site Plan on the original website. [Downtime begins] Transfer the original website Add a new site plan (Apply the coupon code) Add your custom domain to the website and publish [Downtime ends]  There should be a way to simply hit 'Transfer to another workspace'.,10/06/2023,None,https://wishlist.webflow.com/ideas/WEBFLOW-I-6068
WEBFLOW-I-214,Add / remove classes via Interactions,560,Webflow's interactions functionality is killer but it lacks the foundation of developing interactive content on the web: adding and removing classes. Normally when you build a site you associate certain behaviors / keyframes with particular classes. Then upon a trigger like hover or click you can add or remove a class which contains all the data about the beginning and end states together. It would be much easier to develop interactions with this ability! Right now all we can do is affect width / height opacity and "display". On the "interactions" page it appears to be "coming later" as an available action. Let's do it!,23/01/2017,Reviewed,https://wishlist.webflow.com/ideas/WEBFLOW-I-214
WEBFLOW-I-5978,Light/ Dark Mode for websites,15,It will be great to have the option of creating natively light and dark theme for our websites and also synchronising them with the color mode of the device.,24/04/2023,None,https://wishlist.webflow.com/ideas/WEBFLOW-I-5978
WEBFLOW-I-5196,LiqPay.  Fondy. Wayforpay for Ukraine payment,81,Good afternoon dear Webflow developers! With the outbreak of the war in Ukraine many of my fellow designers switched from Tilda to Webflow. And we really need integration with Ukrainian banks. Please integrate with LiqPay Fondy or Wayforpay,20/07/2022,None,https://wishlist.webflow.com/ideas/WEBFLOW-I-5196
WEBFLOW-I-5867,Element visibility based on Access Group,31,The ability to change the visibility not only based on the log-in status but also on the different access groups. For example to make an element visible for a customer of access group A but not for a customor with access group B.,13/02/2023,None,https://wishlist.webflow.com/ideas/WEBFLOW-I-5867
WEBFLOW-I-1317,New "Smart" Editor,425,I think the current editor is very limited in how it works. It is missing a lot of critical features and actually isn't that helpful when adding new content. I think there is a difference between the CMS collection "data" and the "content" that can be created in a Rich Text Block. Ideally anything could be put into a Rich Text Block. Maybe it then becomes a Rich Content Block. The goal for a new editor could be to create a sort of Medium-style writing experience where the content block being written for could insert any type of content you've already defined. In this style of writing you could do things similarly to how Medium works.. Update text (h1 h2 h3 bold underline etc.) and add images videos but also add in components from Webflow that you've already created. Wouldn't it be ideal to just type the content and components based on labels that each component is given (h1 h2 h3 bold underline) and images videos or symbols? That way we don't need to place the content in the same order for all of the CMS items. This would allow for unique CMS item order where you are putting in content to one of these blocks and it gets designed based on the UI components that you have already created in your Webflow site's style guide. This would also make it more enjoyable to write in Webflow keeping designers and marketers on the site instead of using Google Docs or some other tool to do the writing first. This would also streamline the publishing process because people could make their edits and re-order content without needing to change the CMS template. The way you could add symbols or other CMS content would be to "reference" the other fields anywhere in your current CMS (this item or other items). For example if I'm using a Rich Content Block.. I might reference the "title" of my post using "@title" where I can actually get a "dynamic field insertion" into my Rich Content Block. This would allow me to easily update the "title" attribute at any time and my Rich Content Block would also update every instance of that reference. This could be tremendously scalable if you are referencing a global attribute many other blog posts. You could simply select that attribute by using the @ symbol. It would then allow you to look up content anywhere across your CMS. In that item or globally through a simple search. It then binds the reference after you select it.  Other related wishlist items: - Basic text options - https://wishlist.webflow.com/ideas/WEBFLOW-I-127 | https://wishlist.webflow.com/ideas/WEBFLOW-I-489 - Code blocks - https://wishlist.webflow.com/ideas/WEBFLOW-I-894 | https://wishlist.webflow.com/ideas/WEBFLOW-I-5 | - Better URLs (/admin /edit) - https://wishlist.webflow.com/ideas/WEBFLOW-I-907 - Better UX - https://wishlist.webflow.com/ideas/WEBFLOW-I-1247 | https://wishlist.webflow.com/ideas/WEBFLOW-I-999 - Undo/Redo - https://wishlist.webflow.com/ideas/WEBFLOW-I-194 - Scheduling - https://wishlist.webflow.com/ideas/WEBFLOW-I-485 - Reference Lists - https://wishlist.webflow.com/ideas/WEBFLOW-I-1127 - PDFs Images - https://wishlist.webflow.com/ideas/WEBFLOW-I-725  Thanks guys! Cameron,24/06/2018,None,https://wishlist.webflow.com/ideas/WEBFLOW-I-1317
WEBFLOW-I-3866,Add Lottie to collection,194,Add lottie to collection to be able to include them as a custom field as it is done with images and other fields.,25/01/2021,Reviewed,https://wishlist.webflow.com/ideas/WEBFLOW-I-3866
WEBFLOW-I-1967,Multiple currencies,337,,09/04/2019,Reviewed,https://wishlist.webflow.com/ideas/WEBFLOW-I-1967
WEBFLOW-I-194,Ability to undo or discard changes for CMS editors,507,Clients often make mistakes when editing their website and the fact that they have to go back and completely redo what was there before seems unnecessary. I'm surprised this wasn't already on the wish list.,21/01/2017,None,https://wishlist.webflow.com/ideas/WEBFLOW-I-194
WEBFLOW-I-303,Ability to add images to the CMS from the Asset Manager,503,When adding images to a collection within the designer you have the ability to choose existing images which have already been uploaded via the asset manager in addition to the current ability to upload new images.,31/01/2017,None,https://wishlist.webflow.com/ideas/WEBFLOW-I-303
WEBFLOW-I-1742,Pay cash on delivery,341,Some clients in developing countries require cash payment on delivery in addition to the credit card. That would help us a lot to migrate to Webflow,17/01/2019,Reviewed,https://wishlist.webflow.com/ideas/WEBFLOW-I-1742
WEBFLOW-I-459,Add an "Enable Browser Caching" feature to Site Settings,488,If this is possible it could be nice for site's that don't expect to experience many changes or shortly after finishing a big change.  https://gtmetrix.com/leverage-browser-caching.html,16/02/2017,None,https://wishlist.webflow.com/ideas/WEBFLOW-I-459
WEBFLOW-I-2368,More Payment Provider Options for Ecommerce,277,We want to use Webflow Ecommerce here in Switzerland but the Swiss people want to pay with local banks such as PostFinance or use a mobile payment solution we have here like TWINT. The payment provider "Datatrans" (datatrans.ch) provides all of that and more. Isn't it possible to add this integration? I'd love to see it.  Joël,11/11/2019,Reviewed,https://wishlist.webflow.com/ideas/WEBFLOW-I-2368
WEBFLOW-I-6048,Ability to delete forms submissions as an editor,5,An editor should be able to manage forms submissions (abality to delete). It's not a designer job.,02/06/2023,None,https://wishlist.webflow.com/ideas/WEBFLOW-I-6048
